Seq,Old,Issuer,Year,Sort,Item Name,Number,Width,Length,Height,Size,BW,R,Description,Additional Data,CL,EM,JK,DP,TS,JT ,SH,TW,Other,Krause,Mod,Category1,Category2,Category3,Manufacturer
1,10,3 Ring Productions,1996,1996,Video - Bubble Gum Heroes,,4.13,7.44,1.06,,N,,Hosted by Richard Lewis; Special Guest Pete Rose. Back: 1/4 talking w/ Richard Lewis. Color. 60 min. VHS.,Volume 1 on the subject of collecting sports cards.,Y,,,,,,,,,,A,Video,Video Cassette Box,,
2,11,3 Ring Productions,1996,1996,Video - Bubble Gum Heroes - Ad Brochure,,5.5,8.5,,,N,,same as Video front and back. Inside: 4/4 pitching; 1970 Topps card #580. Folder.,,Y,,,,,,,,,,A,Video,Ad Brochure,,
3,12,7-Eleven Slurpee,1972,1972,Plastic Cup 16 oz.,,,,5.25,16,N,,"h&s portrait drawing; bfa. PETE ROSE, Cincinnati Reds. Reds emblem. Player data. Bottom: Amoco. From set of 60 MLB cups.","White w/ red, tan, black accents.",,,,,,,,,,,C,Plastic Cup,Plastic Cup,, 
4,13,7-Eleven Slurpee,1972,1972,Plastic Cup - Checklist Sheet,,8.5,11,,,N,,"b/w h&s portrait drawings of 60 MLB players. Trading Cups Scorecard, Check Off The Stars As You Get 'Em.",,,,,,,,,,,,C,Plastic Cup,Checklist Sheet, , 
5,16,7-Eleven Slurpee,1982,1982,Plastic Cup 16 oz.,,,,4.75,16,N,,h&s portrait (red ac). MLBPA logo. MSA©. Pete Rose. Player data. Bottom: 7-Eleven logo. From set of 35 MLB cups.,"White w/ red, blue, black accents. https://oldbaseball.com/library.php",Y,,,,,,,,,,C,Plastic Cup,Plastic Cup,,
6,17,7-Eleven Slurpee,1982,1982,Plastic Cup - Checklist Sheet - Var 1,,8.5,11,,,Y,,"b/w h&s portraits of 20 MLB players. 4th row: Brett, Ryan, Rose, Chambliss, Valenzuela. Slurpee Baseball Trading Cups, Collect All 20. B/W. Common variation.",,Y,,,,,,,,,,C,Plastic Cup,Checklist Sheet,,
7,18,7-Eleven Slurpee,1982,1982,Plastic Cup - Checklist Sheet - Var 2,,8.5,11,,,Y,1,"b/w h&s portraits of 20 MLB players. 3rd row: Winfield, Murray, Rose, Brett, Mayberry. Slurpee Baseball Trading Cups, Collect All 20. B/W. Rare variation. R1.",Dodgers version,Y,,,,,,,,,,A,Plastic Cup,Checklist Sheet,,
8,18,7-Eleven Slurpee,1982,1982,Plastic Cup - Checklist Sheet - Var 3,,8.5,11,,,Y,1,"b/w h&s portraits of 20 MLB players. 4th row: Rose, Murray, Chambliss, Blue, Fingers. Slurpee Baseball Trading Cups, Collect All 20. B/W. Rare variation. R1.",,Y,,,,,,,,,,A,Plastic Cup,Checklist Sheet,,
9,20,7-Eleven Slurpee,1984,1984,Coin - Central Region,22,1.75,,,,N,,,,,,,,,,,,,Y,,Disc,Disc,,
10,21,7-Eleven Slurpee,1984,1984,Coin - Central Region - Checklist Sheet,,8.38,14,,,N,,b/w 1/2 action drawings of 24 MLB players. Slurpee Baseball Action Coins; Collect All 24.,,,,,,,,,,,,C,Disc,Checklist Sheet,,
11,22,7-Eleven Slurpee,1985,1985,Coin - Great Lakes Region,10,1.75,,,,N,,,,,,,,,,,,,Y,,Disc,Disc,,
12,23,7-Eleven Slurpee,1985,1985,Coin - Great Lakes Region - Counter Display,,11,14,,,N,,h&s portraits of 16 MLB players. Catch All The Action; Collect All 16. HC. Easel back.,,,Y,,,,,,,,,C,Disc,Counter Display,,
13,24,7-Eleven Slurpee,1985,1985,Super Gulp Plastic Mug 1 Liter - 4192 Hits,,,,7.63,1 Liter,N,,"illustration: 1/4 batting (nl); rfa. 4192; All Time Major League Baseball Career Hits Record; September 11, 1985.","Bottom: Betras Plastics Inc. White w/ red, black accents.",,,,,,,,,,,C,Plastic Cup,Plastic Mug,,
14,27,7-Eleven Slurpee,1986,1986,Batting Champs Coin - East Region,2,1.75,,,,N,,orange front; red back,,,,,,,,,,,Y,,Disc,Disc,,
15,28,7-Eleven Slurpee,1986,1986,Batting Champs Coin - Mideast Region,2,1.75,,,,N,,blue front; yellow back,,,,,,,,,,,Y,,Disc,Disc,,
16,25,7-Eleven Slurpee,1986,1986,Batting Champs Coin - Mideast Region - Counter Display,,11,14,,,N,,portrait or action photos of 16 MLB players. Every Coin's A Triple Play! The 1986 Baseball Action Coins Are Here! HC. Easel back.,Collect All 16!,,,,,,,,,,,A,Disc,Counter Display,,
17,29,7-Eleven Slurpee,1986,1986,Batting Champs Coin - Midwest Region,2,1.75,,,,N,,purple front; orange back,,,,,,,,,,,Y,,Disc,Disc,,
18,30,7-Eleven Slurpee,1986,1986,Batting Champs Coin - West Region,2,1.75,,,,N,,red front; green back,,,,,,,,,,,Y,,Disc,Disc,,
